Consequents,counts
['High PostTest'],376
['Normal Stress'],254
['Positive Delta'],180
['Moderate ESF'],145
['Moderate CRF'],121
['High PreTest'],107
['High TP'],96
['Normal Depression'],74
['High CP'],57
['Low CN'],56
['Moderate TP'],26
['Moderate CP'],25
['Moderate TN'],24
['Low TN'],18
['Moderate CN'],14
['Normal Anxiety'],14
['Moderate PreTest'],13
['Moderate Anxiety'],8
['Moderate Stress'],7
['Moderate PostTest'],7
['Severe Anxiety'],7
['Mild Stress'],6
['Moderate Depression'],4
['Severe Depression'],3
['High TN'],3
['Mild Anxiety'],2
['Mild Depression'],2
['Low ESF'],1
['Negative Delta'],1
['High ESF'],1
['High CRF'],1
['Low TP'],1
