Antecedents,Consequents,Support,Confidence,Lift
['High CN'],['Negative Delta'],0.0049504950495049506,0.33333333333333337,1.6833333333333333
['Low PreTest'],['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
['Low TP'],['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
['Moderate Stress'],['Positive Delta'],0.01485148514851485,1.0,1.2469135802469136
"['High CN', 'High PostTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['High TP', 'High CN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CRF', 'High CN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High CN', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Normal Stress', 'High CN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate Stress', 'High CP']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High CRF', 'Low ESF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Mild Depression', 'High ESF']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['High TN', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High TN', 'Normal Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High TN', 'Normal Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High TP', 'Moderate Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Low CN', 'Low TP']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Mild Depression', 'Low ESF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Severe Anxiety', 'Low ESF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Mild Stress', 'Low TN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Severe Anxiety', 'Low TN']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Low TP', 'Moderate ESF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Low TP', 'Normal Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Mild Stress', 'Moderate PreTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Moderate PreTest', 'Moderate Depression']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Normal Anxiety', 'Moderate Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Severe Anxiety', 'Moderate PreTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['High CN', 'High CP', 'High PostTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate ESF', 'High CN', 'High CP']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High PreTest', 'High CN', 'High PostTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate ESF', 'High PreTest', 'High CN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate ESF', 'High TN', 'High CP']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Mild Stress', 'Moderate PreTest', 'High CP']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate PreTest', 'High CP', 'Moderate Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Severe Anxiety', 'Moderate PreTest', 'High CP']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Severe Anxiety', 'Normal Depression', 'High CP']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Severe Anxiety', 'Normal Stress', 'High CP']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['High TP', 'Moderate CP', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Low CN', 'Moderate CP', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Low CN', 'Moderate TP', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CP', 'Low TN', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate TP', 'Low TN', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate Anxiety', 'Mild Depression', 'High CRF']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Mild Depression', 'High CRF', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate Anxiety', 'High CRF', 'Moderate PreTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Moderate CN', 'High CRF', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CP', 'High CRF', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Normal Stress', 'High CRF', 'Moderate Depression']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate ESF', 'High CRF', 'Severe Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High CRF', 'Moderate TN', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate TP', 'High CRF', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High CRF', 'Moderate TN', 'Normal Anxiety']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Moderate TP', 'High CRF', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High ESF', 'Mild Anxiety', 'High PostTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['High ESF', 'Moderate CN', 'High PostTest']",['Positive Delta'],0.01485148514851485,1.0,1.2469135802469136
"['Low CN', 'High ESF', 'Mild Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CRF', 'High ESF', 'Mild Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CP', 'High ESF', 'Moderate CN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High ESF', 'Moderate CN', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CP', 'High ESF', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CRF', 'High ESF', 'Moderate PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High ESF', 'Moderate PreTest', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High ESF', 'Moderate TN', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High ESF', 'Normal Depression', 'Moderate TN']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Moderate TP', 'High ESF', 'Normal Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate TP', 'High ESF', 'Normal Depression']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Moderate TP', 'High TN', 'High PostTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate TP', 'Mild Stress', 'High PostTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Mild Stress', 'Normal Depression', 'High PostTest']",['Positive Delta'],0.009900990099009901,1.0,1.2469135802469136
"['Normal Anxiety', 'High PreTest', 'Low ESF']",['Positive Delta'],0.01485148514851485,1.0,1.2469135802469136
"['Severe Anxiety', 'Mild Depression', 'High PreTest']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate ESF', 'High PreTest', 'Moderate Stress']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['Moderate CP', 'Moderate CRF', 'High TN']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
"['High TP', 'Low TN', 'Severe Anxiety']",['Positive Delta'],0.0049504950495049506,1.0,1.2469135802469136
