Antecedents,Consequents,Support,Confidence,Lift
['High CN'],['High TN'],0.01485148514851485,1.0,33.66666666666667
['High CN'],['Moderate Stress'],0.0049504950495049506,0.33333333333333337,22.444444444444446
['Low PreTest'],['Severe Anxiety'],0.0049504950495049506,1.0,12.625
['Severe Anxiety'],['Severe Depression'],0.0049504950495049506,0.0625,12.625
['High TN'],['Moderate Stress'],0.0049504950495049506,0.16666666666666669,11.222222222222223
['Mild Stress'],['Severe Depression'],0.0049504950495049506,0.05263157894736842,10.63157894736842
['Moderate Depression'],['Moderate Stress'],0.01485148514851485,0.15,10.1
['High CN'],['Severe Anxiety'],0.009900990099009901,0.6666666666666667,8.416666666666668
['Moderate Stress'],['Severe Anxiety'],0.009900990099009901,0.6666666666666667,8.416666666666668
['High TN'],['Mild Stress'],0.019801980198019802,0.6666666666666667,7.087719298245615
['High CN'],['Moderate Depression'],0.009900990099009901,0.6666666666666667,6.733333333333333
['High TN'],['Moderate Depression'],0.019801980198019802,0.6666666666666667,6.733333333333333
['High TN'],['Severe Anxiety'],0.01485148514851485,0.5,6.3125
['Low TP'],['Severe Anxiety'],0.0049504950495049506,0.5,6.3125
['High CRF'],['Moderate Stress'],0.01485148514851485,0.08108108108108109,5.45945945945946
['Low TP'],['Mild Stress'],0.0049504950495049506,0.5,5.315789473684211
['High CN'],['Moderate PostTest'],0.0049504950495049506,0.33333333333333337,5.17948717948718
['Low TP'],['Moderate Depression'],0.0049504950495049506,0.5,5.05
['High ESF'],['Low TP'],0.0049504950495049506,0.049999999999999996,5.05
['Negative Delta'],['Severe Depression'],0.0049504950495049506,0.024999999999999998,5.05
"['Mild Stress', 'Low TN']",['Moderate PreTest'],0.0049504950495049506,1.0,3.8846153846153846
"['Low CN', 'Moderate TP', 'High CRF']",['Moderate PreTest'],0.0049504950495049506,1.0,3.8846153846153846
"['Mild Stress', 'Low TN']",['Moderate Anxiety'],0.0049504950495049506,1.0,3.7407407407407405
"['Low CN', 'Moderate ESF', 'Moderate Depression']",['Moderate Anxiety'],0.0049504950495049506,1.0,3.7407407407407405
['High CN'],['High CRF'],0.009900990099009901,0.6666666666666667,3.63963963963964
['Low PreTest'],['Moderate TP'],0.0049504950495049506,1.0,3.5438596491228074
"['Normal Anxiety', 'Moderate Depression']",['Moderate TP'],0.0049504950495049506,1.0,3.5438596491228074
"['Negative Delta', 'Moderate PreTest']",['Moderate TP'],0.0049504950495049506,1.0,3.5438596491228074
['High CN'],['Mild Stress'],0.0049504950495049506,0.33333333333333337,3.5438596491228074
['High CN'],['High ESF'],0.0049504950495049506,0.33333333333333337,3.3666666666666667
['High ESF'],['Moderate Stress'],0.0049504950495049506,0.049999999999999996,3.3666666666666667
['Low PreTest'],['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
['Low TP'],['Moderate CP'],0.009900990099009901,1.0,3.0606060606060606
"['Normal Anxiety', 'Moderate Depression']",['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
"['Negative Delta', 'Moderate PreTest']",['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
"['Low CN', 'Moderate ESF', 'Moderate Depression']",['Moderate CP'],0.0049504950495049506,1.0,3.0606060606060606
['Low TP'],['Mild Depression'],0.0049504950495049506,0.5,3.0606060606060606
['Severe Depression'],['Moderate CN'],0.0049504950495049506,1.0,3.014925373134328
"['Mild Stress', 'Mild Anxiety']",['Moderate CN'],0.0049504950495049506,1.0,3.014925373134328
"['Normal Anxiety', 'Moderate Depression']",['Moderate CN'],0.0049504950495049506,1.0,3.014925373134328
['High TN'],['Moderate PostTest'],0.0049504950495049506,0.16666666666666669,2.58974358974359
['High ESF'],['Severe Anxiety'],0.019801980198019802,0.19999999999999998,2.525
['Low TP'],['Moderate TN'],0.009900990099009901,1.0,2.4634146341463414
['Severe Depression'],['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Mild Depression', 'Low ESF']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Mild Stress', 'Mild Anxiety']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Normal Anxiety', 'Moderate Depression']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Severe Anxiety', 'Normal Depression', 'High CP']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Low CN', 'Moderate ESF', 'Moderate Depression']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Mild Depression', 'Mild Anxiety', 'Moderate CN']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
"['Mild Anxiety', 'Moderate CN', 'Moderate PreTest']",['Moderate TN'],0.0049504950495049506,1.0,2.4634146341463414
['High CN'],['Moderate TP'],0.009900990099009901,0.6666666666666667,2.362573099415205
['Moderate Stress'],['Moderate TP'],0.009900990099009901,0.6666666666666667,2.362573099415205
['High ESF'],['Moderate PostTest'],0.01485148514851485,0.15,2.3307692307692305
['Moderate Depression'],['Moderate PostTest'],0.01485148514851485,0.15,2.3307692307692305
"['High CRF', 'Low ESF']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Negative Delta', 'Moderate PreTest']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Low CN', 'Moderate TP', 'High CRF']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Moderate TP', 'Low TN', 'High CRF']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Low CN', 'Moderate CP', 'Low ESF']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
"['Moderate ESF', 'Moderate TP', 'Low TN', 'High CP']",['Normal Anxiety'],0.0049504950495049506,1.0,2.104166666666667
['Moderate CP'],['Moderate Stress'],0.009900990099009901,0.030303030303030304,2.0404040404040407
['Moderate CN'],['Moderate Stress'],0.009900990099009901,0.029850746268656716,2.009950248756219
['High TN'],['Low ESF'],0.0049504950495049506,0.16666666666666669,1.9803921568627452
"['Severe Anxiety', 'Low TN']",['Moderate PreTest'],0.0049504950495049506,0.5,1.9423076923076923
['High CN'],['Mild Anxiety'],0.0049504950495049506,0.33333333333333337,1.8703703703703707
['Low TP'],['Moderate Anxiety'],0.0049504950495049506,0.5,1.8703703703703702
['High CRF'],['High TN'],0.009900990099009901,0.05405405405405406,1.81981981981982
['Low PreTest'],['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['High CRF', 'Low ESF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Mild Anxiety', 'Moderate PostTest']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Negative Delta', 'Moderate PreTest']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['High TP', 'Moderate CP', 'High CRF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'Moderate CP', 'High CRF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'Moderate TP', 'High CRF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'High ESF', 'Mild Anxiety']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CRF', 'High ESF', 'Moderate PreTest']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CRF', 'High ESF', 'Normal Anxiety']",['Low TN'],0.009900990099009901,1.0,1.7719298245614037
"['Low CN', 'Moderate CP', 'Low ESF']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'Moderate TP', 'High PreTest', 'Mild Anxiety']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['High TP', 'Moderate CP', 'Mild Anxiety', 'Normal Depression']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Low CN', 'Moderate CRF', 'Negative Delta', 'Mild Anxiety']",['Low TN'],0.0049504950495049506,1.0,1.7719298245614037
"['Moderate CP', 'High TN']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Severe Anxiety', 'Low TN']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Mild Anxiety', 'Moderate Depression']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Moderate PreTest', 'Moderate Depression']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Moderate CP', 'Normal Stress', 'High CRF']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['High ESF', 'Normal Depression', 'Moderate TN']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
"['Negative Delta', 'Moderate TN', 'Normal Anxiety']",['Moderate TP'],0.0049504950495049506,0.5,1.7719298245614037
['High CN'],['Negative Delta'],0.0049504950495049506,0.33333333333333337,1.6833333333333333
['High ESF'],['High TN'],0.0049504950495049506,0.049999999999999996,1.6833333333333333
['Moderate Stress'],['Moderate TN'],0.009900990099009901,0.6666666666666667,1.6422764227642277
['Mild Stress'],['Moderate PostTest'],0.009900990099009901,0.10526315789473684,1.6356275303643724
['Low PreTest'],['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High CRF', 'Low ESF']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Stress', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Severe Anxiety', 'Low TN']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Negative Delta', 'Moderate PreTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Normal Stress', 'High CP', 'Moderate Depression']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Severe Anxiety', 'Normal Depression', 'High CP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Severe Anxiety', 'Normal Stress', 'High CP']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['High TP', 'Moderate CP', 'High CRF']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CP', 'High ESF', 'Normal Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CP', 'High ESF', 'Normal Depression']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate CRF', 'High ESF', 'Moderate PreTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CRF', 'High ESF', 'Normal Anxiety']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['High ESF', 'Moderate PreTest', 'Normal Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Low TN', 'Severe Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Moderate CP', 'Mild Anxiety']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['High TP', 'Normal Stress', 'Moderate Depression']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Mild Depression', 'Low TN', 'Moderate PreTest']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Moderate Anxiety', 'Moderate CP', 'Low TN']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['Severe Anxiety', 'Moderate CRF', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate ESF', 'Low TN', 'Severe Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate Depression', 'Normal Stress', 'High CP', 'High PostTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate ESF', 'Moderate TP', 'Low TN', 'High CP']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CP', 'High ESF', 'Positive Delta', 'Normal Depression']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate CRF', 'High ESF', 'Positive Delta', 'Normal Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Normal Stress', 'Moderate Depression', 'High PostTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Moderate CP', 'Negative Delta', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Moderate CP', 'Mild Anxiety', 'Normal Depression']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Mild Depression', 'Moderate CRF', 'Normal Anxiety']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Normal Anxiety']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Moderate CP', 'Moderate PreTest', 'Normal Depression']",['Low CN'],0.009900990099009901,1.0,1.5303030303030303
"['High TP', 'Moderate CRF', 'Normal Stress', 'Moderate Depression']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Moderate CRF', 'Positive Delta', 'Moderate PostTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['High TP', 'Positive Delta', 'Normal Stress', 'Moderate Depression']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Depression', 'Moderate CRF', 'Low TN', 'Moderate PreTest']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate ESF', 'Mild Depression', 'Moderate TP', 'Low TN']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate Anxiety', 'Moderate CP', 'Low TN', 'Moderate ESF']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Moderate Anxiety', 'Moderate TP', 'Low TN', 'Moderate ESF']",['Low CN'],0.0049504950495049506,1.0,1.5303030303030303
"['Mild Anxiety', 'Moderate Depression']",['Moderate CP'],0.0049504950495049506,0.5,1.5303030303030303
