Antecedents,Consequents,Support,Confidence,Lift
['High CN'],['Moderate PostTest'],0.0049504950495049506,0.33333333333333337,5.17948717948718
['High TN'],['Moderate PostTest'],0.0049504950495049506,0.16666666666666669,2.58974358974359
['High ESF'],['Moderate PostTest'],0.01485148514851485,0.15,2.3307692307692305
['Moderate Depression'],['Moderate PostTest'],0.01485148514851485,0.15,2.3307692307692305
['Mild Stress'],['Moderate PostTest'],0.009900990099009901,0.10526315789473684,1.6356275303643724
['High CRF'],['Moderate PostTest'],0.01485148514851485,0.08108108108108109,1.2598752598752598
['Moderate Anxiety'],['Moderate PostTest'],0.019801980198019802,0.07407407407407407,1.1509971509971508
['Low PreTest'],['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
['Low TP'],['High PostTest'],0.009900990099009901,1.0,1.0687830687830686
['Moderate Stress'],['High PostTest'],0.01485148514851485,1.0,1.0687830687830686
['Severe Depression'],['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['High TP', 'High CN']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Moderate CRF', 'High CN']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['High CN', 'Normal Depression']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Normal Stress', 'High CN']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Moderate Stress', 'High CP']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['High CRF', 'Low ESF']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Mild Depression', 'High ESF']",['High PostTest'],0.009900990099009901,1.0,1.0687830687830686
"['High PreTest', 'Moderate Stress']",['High PostTest'],0.009900990099009901,1.0,1.0687830687830686
"['High TN', 'Moderate PreTest']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['High TN', 'Normal Depression']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['High TN', 'Normal Stress']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['High TP', 'Moderate Stress']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Low CN', 'Low TP']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Low CN', 'Mild Stress']",['High PostTest'],0.01485148514851485,1.0,1.0687830687830686
"['Mild Depression', 'Low ESF']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Severe Anxiety', 'Low ESF']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Mild Stress', 'Low TN']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Severe Anxiety', 'Low TN']",['High PostTest'],0.009900990099009901,1.0,1.0687830687830686
"['Low TP', 'Moderate ESF']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Low TP', 'Normal Stress']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
"['Mild Stress', 'Mild Anxiety']",['High PostTest'],0.0049504950495049506,1.0,1.0687830687830686
