Rule
['High CN'] --> ['Negative Delta']
['Low PreTest'] --> ['Positive Delta']
['Low TP'] --> ['Positive Delta']
['Moderate Stress'] --> ['Positive Delta']
"['High CN', 'High PostTest'] --> ['Positive Delta']"
"['High TP', 'High CN'] --> ['Positive Delta']"
"['Moderate CRF', 'High CN'] --> ['Positive Delta']"
"['High CN', 'Normal Depression'] --> ['Positive Delta']"
"['Normal Stress', 'High CN'] --> ['Positive Delta']"
"['Moderate Stress', 'High CP'] --> ['Positive Delta']"
"['High CRF', 'Low ESF'] --> ['Positive Delta']"
"['Mild Depression', 'High ESF'] --> ['Positive Delta']"
"['High TN', 'Moderate PreTest'] --> ['Positive Delta']"
"['High TN', 'Normal Depression'] --> ['Positive Delta']"
"['High TN', 'Normal Stress'] --> ['Positive Delta']"
"['High TP', 'Moderate Stress'] --> ['Positive Delta']"
"['Low CN', 'Low TP'] --> ['Positive Delta']"
"['Mild Depression', 'Low ESF'] --> ['Positive Delta']"
"['Severe Anxiety', 'Low ESF'] --> ['Positive Delta']"
"['Mild Stress', 'Low TN'] --> ['Positive Delta']"
"['Severe Anxiety', 'Low TN'] --> ['Positive Delta']"
"['Low TP', 'Moderate ESF'] --> ['Positive Delta']"
"['Low TP', 'Normal Stress'] --> ['Positive Delta']"
"['Mild Stress', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate PreTest', 'Moderate Depression'] --> ['Positive Delta']"
"['Normal Anxiety', 'Moderate Depression'] --> ['Positive Delta']"
"['Severe Anxiety', 'Moderate PreTest'] --> ['Positive Delta']"
"['High CN', 'High CP', 'High PostTest'] --> ['Positive Delta']"
"['Moderate ESF', 'High CN', 'High CP'] --> ['Positive Delta']"
"['High PreTest', 'High CN', 'High PostTest'] --> ['Positive Delta']"
"['Moderate ESF', 'High PreTest', 'High CN'] --> ['Positive Delta']"
"['Moderate ESF', 'High TN', 'High CP'] --> ['Positive Delta']"
"['Mild Stress', 'Moderate PreTest', 'High CP'] --> ['Positive Delta']"
"['Moderate PreTest', 'High CP', 'Moderate Depression'] --> ['Positive Delta']"
"['Severe Anxiety', 'Moderate PreTest', 'High CP'] --> ['Positive Delta']"
"['Severe Anxiety', 'Normal Depression', 'High CP'] --> ['Positive Delta']"
"['Severe Anxiety', 'Normal Stress', 'High CP'] --> ['Positive Delta']"
"['High TP', 'Moderate CP', 'High CRF'] --> ['Positive Delta']"
"['Low CN', 'Moderate CP', 'High CRF'] --> ['Positive Delta']"
"['Low CN', 'Moderate TP', 'High CRF'] --> ['Positive Delta']"
"['Moderate CP', 'Low TN', 'High CRF'] --> ['Positive Delta']"
"['Moderate TP', 'Low TN', 'High CRF'] --> ['Positive Delta']"
"['Moderate Anxiety', 'Mild Depression', 'High CRF'] --> ['Positive Delta']"
"['Mild Depression', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate Anxiety', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate CN', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate CP', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Normal Stress', 'High CRF', 'Moderate Depression'] --> ['Positive Delta']"
"['Moderate ESF', 'High CRF', 'Severe Anxiety'] --> ['Positive Delta']"
"['High CRF', 'Moderate TN', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate TP', 'High CRF', 'Moderate PreTest'] --> ['Positive Delta']"
"['High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate TP', 'High CRF', 'Normal Anxiety'] --> ['Positive Delta']"
"['High ESF', 'Mild Anxiety', 'High PostTest'] --> ['Positive Delta']"
"['High ESF', 'Moderate CN', 'High PostTest'] --> ['Positive Delta']"
"['Low CN', 'High ESF', 'Mild Anxiety'] --> ['Positive Delta']"
"['Moderate CRF', 'High ESF', 'Mild Anxiety'] --> ['Positive Delta']"
"['Moderate CP', 'High ESF', 'Moderate CN'] --> ['Positive Delta']"
"['High ESF', 'Moderate CN', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate CP', 'High ESF', 'Moderate PreTest'] --> ['Positive Delta']"
"['Moderate CRF', 'High ESF', 'Moderate PreTest'] --> ['Positive Delta']"
"['High ESF', 'Moderate PreTest', 'Normal Anxiety'] --> ['Positive Delta']"
"['High ESF', 'Moderate TN', 'Normal Anxiety'] --> ['Positive Delta']"
"['High ESF', 'Normal Depression', 'Moderate TN'] --> ['Positive Delta']"
"['Moderate TP', 'High ESF', 'Normal Anxiety'] --> ['Positive Delta']"
"['Moderate TP', 'High ESF', 'Normal Depression'] --> ['Positive Delta']"
