Rule
['High CN'] --> ['Moderate PostTest']
['High CRF'] --> ['Moderate PostTest']
['High ESF'] --> ['Moderate PostTest']
['Low PreTest'] --> ['High PostTest']
['Low TP'] --> ['High PostTest']
['Moderate Stress'] --> ['High PostTest']
['Severe Depression'] --> ['High PostTest']
['High TN'] --> ['Moderate PostTest']
['Mild Stress'] --> ['Moderate PostTest']
['Moderate Anxiety'] --> ['Moderate PostTest']
['Moderate Depression'] --> ['Moderate PostTest']
"['High TP', 'High CN'] --> ['High PostTest']"
"['Moderate CRF', 'High CN'] --> ['High PostTest']"
"['High CN', 'Normal Depression'] --> ['High PostTest']"
"['Normal Stress', 'High CN'] --> ['High PostTest']"
"['Moderate Stress', 'High CP'] --> ['High PostTest']"
"['High CRF', 'Low ESF'] --> ['High PostTest']"
"['Mild Depression', 'High ESF'] --> ['High PostTest']"
"['High PreTest', 'Moderate Stress'] --> ['High PostTest']"
"['High TN', 'Moderate PreTest'] --> ['High PostTest']"
"['High TN', 'Normal Depression'] --> ['High PostTest']"
"['High TN', 'Normal Stress'] --> ['High PostTest']"
"['High TP', 'Moderate Stress'] --> ['High PostTest']"
"['Low CN', 'Low TP'] --> ['High PostTest']"
"['Low CN', 'Mild Stress'] --> ['High PostTest']"
"['Mild Depression', 'Low ESF'] --> ['High PostTest']"
"['Severe Anxiety', 'Low ESF'] --> ['High PostTest']"
"['Mild Stress', 'Low TN'] --> ['High PostTest']"
"['Severe Anxiety', 'Low TN'] --> ['High PostTest']"
"['Low TP', 'Moderate ESF'] --> ['High PostTest']"
"['Low TP', 'Normal Stress'] --> ['High PostTest']"
"['Mild Stress', 'Mild Anxiety'] --> ['High PostTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Mild Depression'] --> ['High PostTest']"
"['Mild Stress', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate PreTest', 'Moderate Depression'] --> ['High PostTest']"
"['Normal Anxiety', 'Moderate Depression'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate Stress'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate ESF', 'High TN', 'High CP'] --> ['High PostTest']"
"['Low CN', 'Severe Anxiety', 'High CP'] --> ['High PostTest']"
"['Moderate TP', 'Low TN', 'High CP'] --> ['High PostTest']"
"['Mild Anxiety', 'High CP', 'Moderate Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Mild Depression', 'High CP'] --> ['High PostTest']"
"['Mild Stress', 'Moderate PreTest', 'High CP'] --> ['High PostTest']"
"['Moderate Anxiety', 'Moderate TP', 'High CP'] --> ['High PostTest']"
"['Moderate PreTest', 'High CP', 'Moderate Depression'] --> ['High PostTest']"
"['Severe Anxiety', 'Moderate PreTest', 'High CP'] --> ['High PostTest']"
"['Severe Anxiety', 'Normal Depression', 'High CP'] --> ['High PostTest']"
"['Severe Anxiety', 'Normal Stress', 'High CP'] --> ['High PostTest']"
"['High TP', 'Moderate CP', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'Mild Depression', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'Moderate CP', 'High CRF'] --> ['High PostTest']"
"['Low CN', 'High CRF', 'Moderate TN'] --> ['High PostTest']"
"['Low CN', 'Moderate TP', 'High CRF'] --> ['High PostTest']"
"['Moderate CP', 'Low TN', 'High CRF'] --> ['High PostTest']"
"['Moderate TP', 'Low TN', 'High CRF'] --> ['High PostTest']"
"['Moderate Anxiety', 'Mild Depression', 'High CRF'] --> ['High PostTest']"
"['Mild Depression', 'High CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['Mild Depression', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate ESF', 'Mild Stress', 'High CRF'] --> ['High PostTest']"
"['Mild Stress', 'Positive Delta', 'High CRF'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Moderate PreTest'] --> ['High PostTest']"
"['Moderate CN', 'High CRF', 'Normal Anxiety'] --> ['High PostTest']"
"['Moderate ESF', 'Moderate CP', 'High CRF'] --> ['High PostTest']"
"['Moderate CP', 'High CRF', 'Normal Depression'] --> ['High PostTest']"
"['Moderate CP', 'Normal Stress', 'High CRF'] --> ['High PostTest']"
