Rule
['High CN'] --> ['Moderate PreTest']
['Low TP'] --> ['High PreTest']
['Severe Depression'] --> ['High PreTest']
['Moderate PostTest'] --> ['Moderate PreTest']
['Moderate Stress'] --> ['Moderate PreTest']
"['Low TP', 'Moderate ESF'] --> ['High PreTest']"
"['Low TP', 'Normal Stress'] --> ['High PreTest']"
"['Mild Stress', 'Mild Anxiety'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate Depression'] --> ['High PreTest']"
"['Mild Anxiety', 'Moderate PostTest'] --> ['High PreTest']"
"['Normal Anxiety', 'Moderate Depression'] --> ['High PreTest']"
"['Low CN', 'Mild Stress'] --> ['Moderate PreTest']"
"['Mild Stress', 'Low TN'] --> ['Moderate PreTest']"
"['Severe Anxiety', 'Low TN'] --> ['Moderate PreTest']"
"['Mild Stress', 'Normal Depression'] --> ['Moderate PreTest']"
"['Mild Anxiety', 'High CP', 'Moderate Depression'] --> ['High PreTest']"
"['Moderate PostTest', 'Moderate CN', 'High CP'] --> ['High PreTest']"
"['Normal Stress', 'High CP', 'Moderate Depression'] --> ['High PreTest']"
"['Moderate PostTest', 'Moderate TN', 'High CP'] --> ['High PreTest']"
"['Severe Anxiety', 'Normal Depression', 'High CP'] --> ['High PreTest']"
"['Moderate TP', 'Low TN', 'High CP'] --> ['Moderate PreTest']"
"['Moderate ESF', 'Moderate CP', 'High CRF'] --> ['High PreTest']"
"['Normal Stress', 'High CRF', 'Moderate Depression'] --> ['High PreTest']"
"['Moderate ESF', 'Moderate TP', 'High CRF'] --> ['High PreTest']"
"['Moderate ESF', 'High CRF', 'Severe Anxiety'] --> ['High PreTest']"
"['High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['Low CN', 'Moderate TP', 'High CRF'] --> ['Moderate PreTest']"
"['High ESF', 'Mild Stress', 'High PostTest'] --> ['High PreTest']"
"['High TP', 'High ESF', 'Moderate CN'] --> ['High PreTest']"
"['High ESF', 'Moderate CN', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CP', 'High ESF', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'Normal Anxiety'] --> ['High PreTest']"
"['High ESF', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['High ESF', 'Normal Depression', 'Moderate TN'] --> ['High PreTest']"
"['Moderate TP', 'Mild Stress', 'High PostTest'] --> ['High PreTest']"
"['Moderate Depression', 'Negative Delta', 'High PostTest'] --> ['High PreTest']"
"['High TP', 'Moderate CP', 'Mild Anxiety'] --> ['High PreTest']"
"['High TP', 'Mild Anxiety', 'Moderate Depression'] --> ['High PreTest']"
"['High TP', 'Normal Stress', 'Moderate Depression'] --> ['High PreTest']"
"['Low CN', 'Moderate ESF', 'Moderate Depression'] --> ['High PreTest']"
"['Normal Anxiety', 'Moderate TN', 'Low ESF'] --> ['High PreTest']"
"['Moderate Anxiety', 'Moderate CP', 'Low TN'] --> ['High PreTest']"
"['Moderate Anxiety', 'Moderate TP', 'Low TN'] --> ['High PreTest']"
"['Moderate CP', 'Negative Delta', 'Mild Anxiety'] --> ['High PreTest']"
"['Positive Delta', 'Mild Anxiety', 'Moderate Depression'] --> ['High PreTest']"
"['Mild Depression', 'Negative Delta', 'Moderate CN'] --> ['High PreTest']"
"['Mild Depression', 'Moderate CP', 'Negative Delta'] --> ['High PreTest']"
"['Mild Depression', 'Negative Delta', 'Moderate TN'] --> ['High PreTest']"
"['Moderate ESF', 'Mild Stress', 'Moderate TP'] --> ['High PreTest']"
"['Negative Delta', 'Moderate CN', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CP', 'Negative Delta', 'Moderate Depression'] --> ['High PreTest']"
"['Negative Delta', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['Low CN', 'Moderate CRF', 'Severe Anxiety'] --> ['Moderate PreTest']"
"['Low CN', 'Severe Anxiety', 'Moderate ESF'] --> ['Moderate PreTest']"
"['Low CN', 'Moderate TN', 'Normal Anxiety'] --> ['Moderate PreTest']"
"['Moderate CRF', 'High ESF', 'Moderate TN', 'High CP'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'High CP', 'Normal Anxiety'] --> ['High PreTest']"
"['Low CN', 'Moderate Depression', 'High CP', 'High PostTest'] --> ['High PreTest']"
"['Moderate Depression', 'Normal Stress', 'High CP', 'High PostTest'] --> ['High PreTest']"
"['Low CN', 'Moderate CRF', 'High CP', 'Moderate Depression'] --> ['High PreTest']"
"['Low CN', 'Positive Delta', 'High CP', 'Moderate Depression'] --> ['High PreTest']"
"['Moderate ESF', 'Moderate TP', 'Low TN', 'High CP'] --> ['High PreTest']"
"['Mild Depression', 'Moderate CRF', 'High CP', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate CRF', 'Normal Stress', 'High CP', 'Moderate Depression'] --> ['High PreTest']"
"['Positive Delta', 'Normal Stress', 'High CP', 'Moderate Depression'] --> ['High PreTest']"
"['Low CN', 'Moderate TP', 'Moderate ESF', 'High CP'] --> ['Moderate PreTest']"
"['Low CN', 'Moderate TN', 'High CRF', 'Moderate ESF'] --> ['High PreTest']"
"['Low CN', 'Normal Depression', 'High CRF', 'Moderate TN'] --> ['High PreTest']"
"['Low CN', 'Positive Delta', 'High CRF', 'Moderate TN'] --> ['High PreTest']"
"['Moderate Anxiety', 'Moderate CN', 'High CRF', 'Normal Depression'] --> ['High PreTest']"
"['Moderate Anxiety', 'Normal Depression', 'High CRF', 'Moderate TN'] --> ['High PreTest']"
"['Moderate Anxiety', 'Normal Stress', 'High CRF', 'Moderate TN'] --> ['High PreTest']"
"['Moderate CN', 'High CRF', 'Normal Depression', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate ESF', 'Moderate CP', 'Positive Delta', 'High CRF'] --> ['High PreTest']"
"['Moderate ESF', 'High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate ESF', 'Moderate TP', 'High CRF', 'Normal Depression'] --> ['High PreTest']"
"['Moderate ESF', 'Moderate TP', 'Normal Stress', 'High CRF'] --> ['High PreTest']"
"['Moderate ESF', 'Moderate TP', 'Positive Delta', 'High CRF'] --> ['High PreTest']"
"['Moderate ESF', 'Negative Delta', 'High CRF', 'Normal Anxiety'] --> ['High PreTest']"
"['Moderate ESF', 'Negative Delta', 'High CRF', 'Normal Depression'] --> ['High PreTest']"
"['Normal Depression', 'High CRF', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['Negative Delta', 'High CRF', 'Normal Depression', 'Normal Anxiety'] --> ['High PreTest']"
"['High TP', 'High ESF', 'Moderate CN', 'High PostTest'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'Moderate TN', 'High PostTest'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'Negative Delta', 'High PostTest'] --> ['High PreTest']"
"['High TP', 'High ESF', 'Positive Delta', 'Moderate CN'] --> ['High PreTest']"
"['High TP', 'Moderate CRF', 'High ESF', 'Moderate TN'] --> ['High PreTest']"
"['High TP', 'High ESF', 'Normal Depression', 'Moderate TN'] --> ['High PreTest']"
"['High TP', 'High ESF', 'Positive Delta', 'Moderate TN'] --> ['High PreTest']"
"['Moderate CRF', 'High ESF', 'Positive Delta', 'Normal Anxiety'] --> ['High PreTest']"
"['High TP', 'Normal Stress', 'Moderate Depression', 'High PostTest'] --> ['High PreTest']"
"['Low CN', 'Moderate CRF', 'Moderate Depression', 'High PostTest'] --> ['High PreTest']"
"['Low CN', 'Normal Stress', 'Moderate Depression', 'High PostTest'] --> ['High PreTest']"
"['Moderate Anxiety', 'Moderate TP', 'Negative Delta', 'High PostTest'] --> ['High PreTest']"
"['Moderate Depression', 'Moderate CRF', 'Negative Delta', 'High PostTest'] --> ['High PreTest']"
"['Moderate Depression', 'Negative Delta', 'Moderate ESF', 'High PostTest'] --> ['High PreTest']"
"['Normal Anxiety', 'Negative Delta', 'Moderate TN', 'High PostTest'] --> ['High PreTest']"
"['High TP', 'Low CN', 'Moderate TN', 'Normal Anxiety'] --> ['High PreTest']"
"['High TP', 'Moderate CN', 'Normal Depression', 'Low ESF'] --> ['High PreTest']"
"['High TP', 'Moderate CP', 'Negative Delta', 'Low TN'] --> ['High PreTest']"
"['High TP', 'Moderate CP', 'Mild Anxiety', 'Normal Depression'] --> ['High PreTest']"
"['High TP', 'Moderate CRF', 'Moderate CN', 'Moderate PostTest'] --> ['High PreTest']"
"['High TP', 'Moderate PostTest', 'Moderate CN', 'Moderate ESF'] --> ['High PreTest']"
"['High TP', 'Normal Stress', 'Moderate CN', 'Moderate PostTest'] --> ['High PreTest']"
"['High TP', 'Moderate CRF', 'Normal Stress', 'Moderate Depression'] --> ['High PreTest']"
"['High TP', 'Moderate CRF', 'Negative Delta', 'Severe Anxiety'] --> ['High PreTest']"
"['High TP', 'Positive Delta', 'Normal Stress', 'Moderate Depression'] --> ['High PreTest']"
"['High TP', 'Moderate TN', 'Moderate PostTest', 'Moderate ESF'] --> ['High PreTest']"
